id;code_postal;latitude;longitude
2876;09300;42.9087143;1.90373731
2884;09800;42.8720436;0.900720179
2894;09120;43.0669746;1.56609309
2955;09420;42.9966621;1.34507537
1744;05260;44.6240425;6.21728754
1761;05190;44.4181442;6.21876097
1906;06910;43.8579178;6.93389702
1916;06620;43.6993713;6.96848345
1930;06850;43.8695335;6.72063875
1942;06500;43.8168068;7.49567318
1951;06480;43.6865158;7.09488249
1998;06200;43.7103767;7.2679944
2030;06660;44.2877769;6.84553385
2062;06560;43.6292076;7.03352547
2073;06430;44.0694847;7.64377069
2095;07120;44.4351273;4.29143906
2106;07580;44.6510773;4.57119274
2215;07610;45.0940094;4.77758121
2235;07690;45.2030106;4.50590801
2422;08190;49.4756241;4.15813017
2434;08260;49.8462677;4.30962515
2493;08410;49.6912155;4.69263268
2524;08600;50.1033096;4.83114338
2879;09400;42.8166656;1.58220816
2895;09100;43.058876;1.72373772
2913;09700;43.1398277;1.71018827
3038;09210;43.2792168;1.33645749
3206;10160;48.2348518;3.724401
3219;10220;48.3572502;4.20070171
3233;10210;47.990696;4.19422722
3258;10270;48.312336;4.17554092
3317;10100;48.5226936;3.63988042
1742;05250;44.6831551;5.8832159
1749;05800;44.8112946;5.99772501
1762;05100;44.8949852;6.64403534
1898;05560;44.595005;6.71268368
1917;06310;43.7082787;7.33336878
1924;06410;43.6245537;7.08194685
1936;06400;43.5395813;7.01711607
1996;06000;43.7103767;7.2679944
2019;06550;43.5838356;6.9532733
2032;06230;43.6881409;7.33259678
2084;07100;45.2443619;4.65341187
2114;07270;45.0270538;4.68571472
2152;07570;44.9968529;4.50139809
2211;48250;44.6184998;3.9149878
2234;07560;44.7167358;4.19820547
2278;07790;45.1836205;4.63142824
2424;08130;49.5137749;4.54935026
2448;08370;49.6125069;5.29580593
2485;08110;49.6247826;5.19924784
2891;09130;43.1412392;1.45025921
2911;09350;43.1675797;1.27181363
3214;10340;48.0454292;4.27455282
3240;10310;48.1928978;4.79380941
1755;05700;44.4548836;5.7538414
1765;05600;44.6570282;6.80590534
1834;05290;44.8590164;6.42181301
1908;06750;43.7776909;6.82352161
1932;06530;43.6583481;6.87643623
1945;06740;43.6665115;6.97967434
1972;06610;43.7182579;7.15470028
1987;06210;43.5304222;6.92913866
2001;06580;43.587307;6.92034388
2033;06640;43.758728;7.13865805
2058;06690;43.7875366;7.27341557
2081;07440;44.9393578;4.73963451
2088;07410;45.0394058;4.630795
2101;07800;44.8339348;4.79134178
2126;07230;44.4174881;4.24744177
2147;07510;44.8023605;4.12572765
2254;07250;44.7515068;4.74635315
2421;08090;49.7864685;4.77142572
2432;08450;49.6356506;4.97650528
2491;08330;49.7520943;4.85780287
2576;08170;50.023735;4.7054162
2596;08440;49.773571;4.82799339
2903;09220;42.7040901;1.44568419
2914;09160;43.0610085;1.00260305
3205;10380;48.5757942;3.96775341
3218;10320;48.1795273;4.06211853
3228;10290;48.3861923;3.64826488
3249;10500;48.4474792;4.4549427
3264;10450;48.2555542;4.1072154
3293;10510;48.5053825;3.84460068
3337;10350;48.3864517;3.83884931
3417;10230;48.6747627;4.19472551
1767;05400;44.4792824;5.78500986
1800;05320;45.0729942;6.28430891
1912;06790;43.77882;7.24317026
1922;06470;44.1159515;6.96603203
1941;06670;43.7956429;7.23373508
1966;06360;43.727356;7.36438942
1992;06370;43.6238289;6.96831799
2025;06730;43.7465019;7.28728485
2039;06570;43.6945763;7.12328768
2071;06270;43.6492348;7.10992193
2083;07340;45.2268486;4.79337931
2107;07150;44.3393402;4.29674244
2121;07240;44.87817;4.56019735
2139;07430;45.2638283;4.7420311
2208;07220;44.45467;4.59731054
2425;08390;49.5130806;4.75726604
2449;08380;49.8552551;4.26596165
2492;08350;49.7520943;4.85780287
2874;09240;43.0475693;1.47443044
3011;09390;42.5955124;1.7729063
3209;10700;48.5845871;4.1216588
1910;06600;43.5722237;7.11953592
1923;06510;43.7989922;7.09773636
1933;06800;43.6696358;7.15390587
1944;06460;43.7387276;6.90489197
1967;06950;43.7505379;7.26633072
1993;06250;43.590519;6.99916697
2016;06330;43.6767235;7.05630064
2079;07400;44.5534706;4.59547997
2090;07600;44.6954613;4.3512516
2103;07110;44.5381393;4.17150545
2149;07350;44.6613426;4.75357676
2420;08220;49.6552582;4.23404837
2462;08200;49.6883469;4.96274948
2537;08460;49.7454376;4.54918432
2598;08700;49.8164673;4.84639883
2881;09200;42.8982849;1.13071239
2885;09250;42.8041267;1.74409831
2946;09290;43.0708923;1.28143358
3211;10200;48.2521515;4.68968773
3220;10150;48.4258728;4.12059069
3235;10600;48.335598;4.03289557
3254;10800;48.1886063;4.11745167
3322;10360;48.04105;4.6677537
1913;06810;43.6110764;6.91182899
1935;06150;43.5395813;7.01711607
1976;06130;43.6547623;6.93344069
2078;07000;44.7594261;4.48732328
2091;07140;44.4261475;4.18849611
2131;07130;44.9853897;4.8329711
2154;07260;44.5584526;4.11003351
2175;07500;44.9322243;4.85984468
2199;07520;45.0754433;4.51161051
2428;08210;49.5999718;5.06804609
2445;08150;49.7733269;4.42636347
2461;08160;49.6696053;4.71331549
2875;09600;42.9994583;1.8765384
2893;09460;42.6854019;2.03707027
2912;09500;43.0566864;1.88184488
3000;09190;43.0377274;1.13904774
3056;09270;43.2361412;1.68745983
3076;09330;42.9385414;1.64318442
3248;10170;48.5478783;4.0245862
1833;05340;44.8590164;6.42181301
1862;05330;44.9331703;6.6040926
1915;06420;43.9845352;7.12131453
1927;06830;43.861248;7.1786561
1940;06320;43.7237778;7.40130758
1994;06380;43.9437637;7.40982962
2015;06190;43.7610397;7.46631098
2077;07530;44.7189217;4.33130026
2089;07370;45.1450729;4.80176115
2112;07590;44.6131744;4.03614998
2135;07300;45.1304131;4.74391603
2150;07170;44.6573715;4.51604605
2426;08400;49.5130806;4.75726604
2435;08290;49.794239;4.31137133
2902;09140;42.766674;1.35616267
3225;10400;48.4315147;3.56219649
3387;10120;48.2272949;3.97599053
3203;10190;48.2348518;3.724401
3215;10330;48.5459747;4.60633707
3314;10250;48.0181389;4.4646616
3412;10300;48.302475;3.91584611
3517;10440;48.2804146;4.01848841
3645;11170;43.2658768;2.17169762
4082;12360;43.7204361;2.95035696
4093;12000;44.3728828;2.47044587
4107;12160;44.2916832;2.37635899
4129;12140;44.6792412;2.61658931
4201;12740;44.3838882;2.65515423
4371;13980;43.7027054;5.14923143
4382;13570;43.8938675;4.75030518
4394;13260;43.2141876;5.53851223
4404;13510;43.567318;5.34119225
4413;13120;43.4564629;5.47188711
4424;13680;43.5770569;5.15705824
4434;13007;43.2593346;5.370368
4444;13117;43.3666306;5.03624916
4454;13890;43.7032852;4.87644863
4463;13860;43.6228638;5.58055496
4483;13760;43.6169968;5.30040455
4493;13300;43.6420479;5.09965944
4512;14400;49.2365303;-0.775467098
4521;14140;48.9994736;0.0242739916
4550;14130;49.2892647;0.279078364
4590;14550;49.2271881;-0.311100751
3208;10140;48.2965851;4.46831608
3221;10240;48.5299492;4.26455355
3520;10430;48.2623444;4.06734705
3646;11190;42.9625931;2.21764255
3653;11140;42.7923584;2.20688486
3781;11560;43.2150803;3.16524601
4075;12220;44.5389061;2.17966199
4086;12110;44.5302773;2.25622153
4100;12370;43.8241997;2.74901533
4111;12600;44.8248405;2.69703841
4122;12560;44.4049568;3.08631992
4139;12230;44.0057449;3.17225742
4230;12720;44.2298813;3.17331052
4302;12780;44.2209511;2.97965789
4369;13540;43.5133553;5.38119459
4376;13280;43.5223351;4.65020752
4386;13130;43.4878502;5.09394503
4408;13630;43.8418655;4.83983898
4418;13850;43.4260597;5.54529095
4428;13001;43.2593346;5.370368
4438;13011;43.2593346;5.370368
4449;13590;43.4955826;5.48986769
4460;13170;43.4013557;5.31990099
4470;13340;43.493988;5.22382498
4486;13310;43.6445045;4.85387659
4496;13240;43.386982;5.37721825
4509;13470;43.2587738;5.56977272
4518;14310;49.0860519;-0.720247447
4531;14260;48.9665108;-0.834929705
4553;14490;49.1949081;-0.836075187
4566;14330;49.2183418;-0.98989141
4580;14410;48.855442;-0.72720629
4629;14000;49.1817894;-0.372570187
3196;09340;43.0822639;1.66735613
3223;10130;48.0872688;3.92879486
3234;10110;48.0384636;4.35467529
3303;10390;48.2059517;4.19561243
3639;11300;43.0462112;2.13801479
3647;11600;43.299057;2.31180048
3658;11700;43.275589;2.65687108
3685;11150;43.2497292;2.11063886
3718;11250;43.0306778;2.41681361
3817;11310;43.4079399;2.23493862
3929;11490;43.0404587;2.92230844
4079;12430;44.1360207;2.67251921
4085;12700;44.5542374;2.13789296
4097;12490;44.0108566;3.05755043
4109;12350;44.3812294;2.13564754
4152;12320;44.5858078;2.38527155
4374;13129;43.5223351;4.65020752
4380;13121;43.67173;5.14970016
4391;13480;43.4503975;5.34946442
4398;13220;43.3840103;5.13647509
4410;13990;43.727787;4.72394037
4416;13450;43.6042938;5.05931568
4429;13002;43.2593346;5.370368
4439;13012;43.2593346;5.370368
4452;13140;43.5708961;5.03129292
